12Z 02 Mar 2017, 0.00, 9.12
00Z 03 Mar 2017, 0.00, 18.05
12Z 03 Mar 2017, 0.00, 7.73
00Z 04 Mar 2017, 0.00, 8.35
12Z 04 Mar 2017, 0.00, 9.92
00Z 05 Mar 2017, 0.00, 9.99
12Z 05 Mar 2017, 0.00, 15.01
00Z 06 Mar 2017, 0.00, 13.47
12Z 06 Mar 2017, 36.24, 12.97
00Z 07 Mar 2017, 0.00, 9.53
12Z 07 Mar 2017, 0.04, 16.56
00Z 08 Mar 2017, 0.00, 17.74
12Z 08 Mar 2017, 0.00, 18.70
00Z 09 Mar 2017, 0.00, 16.98
12Z 09 Mar 2017, 0.00, 15.99
00Z 10 Mar 2017, 0.00, 13.48
12Z 10 Mar 2017, 13.82, 12.51
00Z 11 Mar 2017, 0.00, 12.16
12Z 11 Mar 2017, 0.00, 12.18
00Z 12 Mar 2017, 0.00, 11.69
12Z 12 Mar 2017, 0.00, 11.20
00Z 13 Mar 2017, 0.00, 13.60
12Z 13 Mar 2017, 0.00, 13.59
00Z 14 Mar 2017, 0.00, 11.34
12Z 14 Mar 2017, 0.00, 11.03
00Z 15 Mar 2017, 0.00, 8.55
12Z 15 Mar 2017, 0.00, 6.55
00Z 16 Mar 2017, 41.40, 12.26
12Z 16 Mar 2017, 15.48, 11.83
00Z 17 Mar 2017, 0.00, 10.68
12Z 17 Mar 2017, 0.00, 7.68
00Z 18 Mar 2017, 0.00, 11.30
12Z 18 Mar 2017, 0.00, 14.93
00Z 19 Mar 2017, 0.00, 20.86
12Z 19 Mar 2017, 46.07, 19.27
00Z 20 Mar 2017, 0.00, 17.58
12Z 20 Mar 2017, 0.00, 16.74
00Z 21 Mar 2017, 0.00, 16.24
12Z 21 Mar 2017, 0.00, 15.63
00Z 22 Mar 2017, 0.00, 12.90
12Z 22 Mar 2017, 0.00, 14.39
00Z 23 Mar 2017, 0.00, 15.73
12Z 23 Mar 2017, 9.66, 16.70
00Z 24 Mar 2017, 0.00, 18.28
12Z 24 Mar 2017, 0.00, 12.53
00Z 25 Mar 2017, 0.00, 16.41
12Z 25 Mar 2017, 0.00, 13.00
00Z 26 Mar 2017, 0.00, 10.50
12Z 26 Mar 2017, 0.00, 14.46
00Z 27 Mar 2017, 0.00, 8.20
12Z 27 Mar 2017, 0.00, 6.95
00Z 28 Mar 2017, 0.00, 9.35
12Z 28 Mar 2017, 0.00, 8.75
00Z 29 Mar 2017, 0.00, 9.59
12Z 29 Mar 2017, 0.00, 10.59
00Z 30 Mar 2017, 0.00, 11.32
12Z 30 Mar 2017, 0.00, 16.33
00Z 31 Mar 2017, 0.00, 11.80
12Z 31 Mar 2017, 0.00, 12.15
00Z 01 Apr 2017, 0.00, 9.74
12Z 01 Apr 2017, 0.00, 9.26
00Z 02 Apr 2017, 0.00, 10.37
12Z 02 Apr 2017, 0.00, 9.75
00Z 03 Apr 2017, 0.00, 9.12
12Z 03 Apr 2017, 0.00, 8.04
00Z 04 Apr 2017, 0.00, 8.30
12Z 04 Apr 2017, 0.00, 16.05
00Z 05 Apr 2017, 0.00, 16.82
12Z 05 Apr 2017, 153.48, 18.69
00Z 06 Apr 2017, 27.61, 18.02
12Z 06 Apr 2017, 64.35, 17.03
