14 06 2017, 0.00, 30.68
15 06 2017, 0.00, 19.05
16 06 2017, 0.00, 20.38
17 06 2017, 112.77, 21.24
18 06 2017, 2.55, 29.39
19 06 2017, 80.49, 26.19
20 06 2017, 0.00, 23.98
21 06 2017, 302.16, 22.85
22 06 2017, 37.87, 27.84
23 06 2017, 456.22, 33.52
24 06 2017, 0.00, 20.06
25 06 2017, 0.00, 25.75
26 06 2017, 141.76, 32.54
27 06 2017, 0.00, 23.33
28 06 2017, 449.72, 32.94
29 06 2017, 0.00, 22.00
30 06 2017, 0.00, 22.92
01 07 2017, 0.00, 33.30
02 07 2017, 0.00, 26.72
03 07 2017, 0.00, 27.03
04 07 2017, 0.00, 18.80
05 07 2017, 0.13, 27.55
06 07 2017, 15.55, 22.77
07 07 2017, 11.68, 25.05
08 07 2017, 0.00, 33.76
09 07 2017, 15.91, 34.61
10 07 2017, 662.21, 32.85
11 07 2017, 0.00, 21.27
12 07 2017, 42.42, 34.35
13 07 2017, 0.00, 23.80
14 07 2017, 0.00, 14.21
15 07 2017, 0.00, 23.60
16 07 2017, 0.00, 19.01
17 07 2017, 2.64, 21.45
18 07 2017, 0.00, 25.16
19 07 2017, 0.00, 22.16
20 07 2017, 0.00, 26.35
21 07 2017, 48.53, 29.87
22 07 2017, 64.52, 33.21
23 07 2017, 1059.24, 32.30
24 07 2017, 256.95, 32.99
25 07 2017, 39.91, 35.31
26 07 2017, 0.00, 23.09
27 07 2017, 61.82, 26.57
28 07 2017, 0.00, 30.29
29 07 2017, 0.00, 28.71
30 07 2017, 0.00, 29.17
31 07 2017, 79.45, 39.66
01 08 2017, 0.00, 20.89
02 08 2017, 0.00, 13.79
03 08 2017, 0.00, 29.56
04 08 2017, 0.00, 32.45
05 08 2017, 17.80, 30.23
06 08 2017, 908.97, 38.48
07 08 2017, 287.25, 40.49
08 08 2017, 415.87, 29.64
09 08 2017, 387.58, 28.39
10 08 2017, 221.26, 22.75
11 08 2017, 0.00, 18.13
12 08 2017, 17.27, 31.04
13 08 2017, 0.00, 34.87
14 08 2017, 0.00, 29.14
15 08 2017, 4.82, 28.60
16 08 2017, 45.59, 29.42
17 08 2017, 0.00, 23.52
18 08 2017, 9.76, 26.15
19 08 2017, 0.00, 22.26
20 08 2017, 38.78, 36.22
21 08 2017, 0.00, 21.87
22 08 2017, 5.71, 16.25
23 08 2017, 0.00, 16.56
24 08 2017, 0.00, 15.80
25 08 2017, 0.00, 21.49
26 08 2017, 0.00, 18.69
27 08 2017, 0.00, 19.42
28 08 2017, 0.00, 31.14
29 08 2017, 0.00, 16.47
30 08 2017, 0.00, 14.59
31 08 2017, 0.00, 15.28
01 09 2017, 0.00, 29.60
02 09 2017, 48.15, 29.01
03 09 2017, 220.73, 23.28
04 09 2017, 7.71, 17.25
05 09 2017, 0.00, 18.15
06 09 2017, 0.00, 21.17
07 09 2017, 9.04, 30.15
08 09 2017, 0.00, 28.78
09 09 2017, 0.00, 37.47
10 09 2017, 0.00, 19.30
11 09 2017, 0.00, 20.02
12 09 2017, 10.97, 29.47
13 09 2017, 0.00, 16.36
14 09 2017, 0.00, 14.26
15 09 2017, 0.00, 18.53
16 09 2017, 0.00, 22.49
17 09 2017, 5.65, 23.25
18 09 2017, 0.00, 18.80
19 09 2017, 0.00, 15.68
20 09 2017, 0.00, 27.50
21 09 2017, 2.97, 20.99
22 09 2017, 103.92, 20.62
23 09 2017, 0.00, 18.47
24 09 2017, 0.00, 22.54
25 09 2017, 0.00, 26.50
26 09 2017, 108.78, 27.89
27 09 2017, 0.00, 18.23
28 09 2017, 0.00, 19.42
29 09 2017, 0.00, 14.80
30 09 2017, 0.00, 9.02
02 10 2017, 0.00, 9.20
04 10 2017, 0.00, 16.00
05 10 2017, 0.00, 22.67
06 10 2017, 15.48, 21.47
07 10 2017, 0.00, 15.40
08 10 2017, 0.00, 18.43
09 10 2017, 0.00, 17.37
10 10 2017, 0.00, 18.37
11 10 2017, 0.00, 16.90
12 10 2017, 0.00, 16.66
13 10 2017, 0.00, 18.95
14 10 2017, 0.00, 16.70
15 10 2017, 0.00, 16.14
16 10 2017, 0.00, 17.83
17 10 2017, 0.00, 15.76
18 10 2017, 0.00, 15.70
19 10 2017, 0.00, 13.89
20 10 2017, 0.00, 13.51
21 10 2017, 0.00, 19.13
22 10 2017, 0.00, 23.16
23 10 2017, 7.42, 20.14
24 10 2017, 0.35, 23.07
25 10 2017, 0.00, 17.94
26 10 2017, 0.00, 14.79
27 10 2017, 0.00, 16.06
28 10 2017, 11.90, 12.15
30 10 2017, 0.00, 5.77
31 10 2017, 0.00, 10.55
01 11 2017, 0.00, 10.49
02 11 2017, 0.00, 12.75
05 11 2017, 0.00, 6.52
06 11 2017, 0.00, 13.52
07 11 2017, 0.00, 18.95
08 11 2017, 0.00, 19.25
09 11 2017, 0.00, 16.46
10 11 2017, 4.24, 14.93
11 11 2017, 0.00, 13.79
12 11 2017, 0.00, 18.43
13 11 2017, 0.01, 24.31
14 11 2017, 1.14, 18.61
15 11 2017, 0.00, 21.97
16 11 2017, 0.34, 21.52
17 11 2017, 0.00, 16.94
18 11 2017, 0.00, 15.35
19 11 2017, 7.11, 11.05
20 11 2017, 13.56, 9.74
21 11 2017, 0.00, 12.98
22 11 2017, 0.00, 13.47
23 11 2017, 0.00, 11.30
24 11 2017, 0.00, 12.63
25 11 2017, 0.00, 11.57
26 11 2017, 0.34, 20.71
27 11 2017, 5.97, 10.43
28 11 2017, 0.00, 4.89
29 11 2017, 0.00, 9.12
30 11 2017, 0.00, 21.66
01 12 2017, 0.00, 10.16
02 12 2017, 0.00, 11.57
03 12 2017, 0.00, 12.14
04 12 2017, 0.00, 5.50
05 12 2017, 0.00, 6.84
06 12 2017, 0.00, 9.71
07 12 2017, 0.00, 6.04
08 12 2017, 0.00, 8.11
09 12 2017, 0.00, 14.74
10 12 2017, 0.00, 4.37
11 12 2017, 0.00, 14.84
12 12 2017, 0.00, 12.85
13 12 2017, 0.00, 18.96
14 12 2017, 0.00, 15.77
15 12 2017, 0.00, 14.87
16 12 2017, 0.00, 9.80
17 12 2017, 0.00, 10.04
